City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
508,Macau,MO,82.4,clear sky,22.2,113.55,Grand Emperor Hotel
513,Moerai,PF,75.4,overcast clouds,-22.43,-151.33,Le Manotel
514,Poso,ID,87.13,clear sky,-1.4,120.75,Hotel 77 Poso
517,Puerto Escondido,MX,78.8,scattered clouds,15.85,-97.07,Aldea del Bazar Hotel and Spa
519,Bundaberg,AU,78.8,broken clouds,-24.85,152.35,Takalvan Motel
521,Qandala,SO,81.27,broken clouds,11.47,49.87,
522,Manokwari,ID,84.47,overcast clouds,-0.87,134.08,Swiss Belhotel Manokwari
531,Poum,NC,75.31,broken clouds,-20.23,164.02,Gîte kajeon
532,Massakory,TD,74.25,scattered clouds,13.0,15.73,
534,Tadine,NC,73.36,few clouds,-21.55,167.88,
535,Bubaque,GW,82.96,clear sky,11.28,-15.83,"Casa Dora, Bubaque"
536,Mandalgarh,IN,82.71,clear sky,25.2,75.1,दुर्गा टेंट हाऊस
540,Robertsport,LR,77.13,scattered clouds,6.75,-11.37,Kwepunha Retreat
542,Cuamba,MZ,84.79,scattered clouds,-14.8,36.54,Hotel Vision
544,Bongandanga,CD,71.31,light rain,1.5,21.05,
545,Vilhena,BR,70.52,moderate rain,-12.74,-60.15,Hotel Mirage
546,Tabou,CI,77.52,light rain,4.42,-7.35,hotêl doufoulougou
551,Marawi,PH,84.0,few clouds,8.0,124.29,Derogongan Residence
553,Fuling,CN,73.69,scattered clouds,29.7,107.39,Yingbin Hostel
554,Angoche,MZ,84.04,broken clouds,-16.23,39.91,Guest House HESADA
557,Pakxan,LA,85.6,clear sky,18.38,103.66,Kong Kham Pheng Guesthouse
558,Siraha,NP,83.19,clear sky,26.65,86.21,Prashant Yadav Home
562,Dhidhdhoo,MV,84.43,overcast clouds,6.88,73.1,Dhidhoo beach
563,Pochutla,MX,75.99,scattered clouds,15.74,-96.47,Hotel Posada San Jose
570,Pitimbu,BR,75.2,broken clouds,-7.47,-34.81,Reserva do Abiaí
579,Lingao,CN,77.13,scattered clouds,19.91,109.69,Lingao Ditai Inn
583,Doha,QA,88.0,clear sky,25.29,51.53,Doha Marriott Hotel
584,Calabozo,VE,73.83,few clouds,8.92,-67.43,Hotel Giardini
589,Riyadh,SA,71.6,clear sky,24.69,46.72,InterContinental Riyadh
593,Castanhal,BR,77.0,clear sky,-1.29,-47.93,ESTAÇÃO HOTEL
597,Tumpat,MY,78.8,moderate rain,6.2,102.17,OYO 44005 Senangin Resort & Cafe
600,Manzanillo,CU,74.26,scattered clouds,20.34,-77.12,Adrian & Tonia
602,Srivardhan,IN,86.05,clear sky,18.03,73.02,Savli Resort/Hotel - Shrivardhan
603,Road Town,VG,80.6,broken clouds,18.42,-64.62,"ZINGARA 76ft Catamaran, full crew-all included"
605,Estelle,US,71.01,clear sky,29.85,-90.11,Comfort Inn Marrero - New Orleans West
608,Puerto Leguizamo,CO,72.0,overcast clouds,-0.19,-74.78,la casona de juancho
611,Tshikapa,CD,74.12,overcast clouds,-6.42,20.8,Hôtel Tshia-Muntu de Tshikapa
615,Balabac,PH,83.73,scattered clouds,7.99,117.06,Sing and Swing Lodge
621,Lalian,PK,82.58,clear sky,31.82,72.8,JAM ALLAH YAR PRINCIPAL
623,Nabire,ID,86.34,overcast clouds,-3.37,135.48,Hotel Nusantara Nabire
627,Umm Lajj,SA,77.86,light rain,25.02,37.27,Moon light Furnished Units
630,Luganville,VU,78.8,overcast clouds,-15.53,167.17,The Espiritu Hotel
634,Ottappalam,IN,89.6,few clouds,10.77,76.38,Builda Park inn
636,Massaranduba,BR,70.7,few clouds,-7.2,-35.79,
640,Dori,BF,73.24,overcast clouds,14.04,-0.03,Oasis Annexe
642,Sola,VU,82.13,light rain,-13.88,167.55,Ulkel Guest House
643,Finschhafen,PG,83.39,light rain,-6.6,147.87,Cossam Guest House
645,Puri,IN,80.6,haze,19.8,85.85,OYO 1577 Hotel Shree Hari Grand
647,Kieta,PG,82.98,light rain,-6.22,155.63,
651,Cockburn Town,TC,79.7,moderate rain,21.46,-71.14,Osprey Beach Hotel
652,Cururupu,BR,76.41,few clouds,-1.83,-44.87,Pousada Través'cia
653,Tabuk,PH,80.28,light rain,17.42,121.44,Grand Zion Garden Resort Hotel
657,Nioro,GM,73.35,clear sky,13.35,-15.75,
660,Porto Walter,BR,72.63,overcast clouds,-8.27,-72.74,Hotel Silva
663,Anloga,GH,77.0,few clouds,5.79,0.9,Pin Drop Hotel
665,Palm Coast,US,78.01,moderate rain,29.59,-81.21,Hammock Beach Golf Resort & Spa
667,Naze,JP,71.6,broken clouds,28.37,129.48,奄美ポートタワーホテル
669,Inhambane,MZ,82.4,broken clouds,-23.86,35.38,Oceano
670,Basco,PH,78.84,broken clouds,20.45,121.97,Nathaniel's Lodge
673,Tawau,MY,89.6,few clouds,4.25,117.89,Shervinton Executive Boutique Hotel
676,Hambantota,LK,87.8,scattered clouds,6.12,81.12,Bungalow 63
681,Sijunjung,ID,89.49,overcast clouds,-0.69,100.95,Hotel Bukik Gadang
683,Samarai,PG,80.65,moderate rain,-10.62,150.67,Nuli Sapi
684,Tautira,PF,78.8,broken clouds,-17.73,-149.15,Pension Oaoa
686,Kaili,ID,84.47,broken clouds,-3.46,120.21,
687,Sibu,MY,84.2,scattered clouds,2.3,111.82,RH HOTEL (4 Star)
691,Francistown,BW,71.6,thunderstorm with light rain,-21.17,27.51,Budget House
692,Yaan,NG,73.72,scattered clouds,7.38,8.57,
697,Jaicos,BR,76.84,clear sky,-7.36,-41.14,Hotel Jaicós
698,Praia,CV,77.0,clear sky,14.92,-23.51,LT Aparthotel
704,Buala,SB,84.63,overcast clouds,-8.14,159.59,Maringe Lagoon Lodge
